instr,addr,pipe,call_count,cycles,running_time(us),detail
SHR,0x1168d52c,SCALAR,31,31,0.020000,"dtype:U64,XD:X1=0x20,DATA_SRC:IMM,IMM:0x4,"
ZEROEXT,0x1168d090,SCALAR,31,31,0.020000,"dtype:U32,XD:X8=0x1,XN:X2=0x1,"
SHR,0x1168d0f4,SCALAR,31,31,0.020000,"dtype:U64,XD:X8=0x2,DATA_SRC:IMM,IMM:0x4,"
CMP,0x1168d0f0,SCALAR,31,31,0.020000,"dtype:U64,XN:X6=0x9,XM:X24=0xe,cond_op:GT,"
ZEROEXT,0x1168d528,SCALAR,31,31,0.020000,"dtype:U32,XD:X2=0,XN:X2=0,"
ADD_IMM,0x1168d514,SCALAR,31,31,0.020000,"dtype:S64,XD:X1=0x20f,XN:X16=0x200,IMM:0xf,"
AND,0x1168d138,SCALAR,31,31,0.020000,"dtype:B64,XD:X6=0,XN:X15=0x200,XM:X23=0x302a,"
SHR,0x1168d534,SCALAR,31,31,0.020000,"dtype:U64,XD:X2=0,DATA_SRC:IMM,IMM:0x4,"
SUB,0x1168d518,SCALAR,31,31,0.020000,"dtype:S64,XD:X4=0x80,XN:X7=0x280,XM:X16=0x200,"
SUB,0x1168d51c,SCALAR,31,31,0.020000,"dtype:S64,XD:X2=0,XN:X2=0x200,XM:X16=0x200,"
ST_XD_XN_IMM,0x1168c354,SCALAR,1,31,0.000000,"dtype:B32,XD:X1=0x5000,XN:X30=0x1c7c20,IMM:0xc78,"
ZEROEXT,0x1168d524,SCALAR,31,31,0.020000,"dtype:U32,XD:X4=0x80,XN:X4=0x80,"
ZEROEXT,0x1168d520,SCALAR,31,31,0.020000,"dtype:U32,XD:X1=0x20f,XN:X1=0x20f,"
SHL,0x1168d118,SCALAR,31,31,0.020000,"dtype:B64,XD:X15=0x200,XN:X6=0x9,DATA_SRC:XN,IMM:0,"
MOV_XD_IMM,0x1168d140,SCALAR,31,31,0.020000,"XD:X3=0x1d8,IMM:0x1d8,"
MOVK,0x1168d144,SCALAR,31,31,0.020000,"XD:X3=0x1d8,IMM:0,UIMM:0x1,"
MOVK,0x1168d148,SCALAR,31,31,0.020000,"XD:X3=0x1d8,IMM:0,UIMM:0x2,"
ADD,0x1168d288,SCALAR,31,31,0.020000,"dtype:S64,XD:X26=0x1c7564,XN:X10=0x1c7560,XM:X4=0x4,"
SIGNEXT,0x1168d294,SCALAR,31,31,0.020000,"dtype:S32,XD:X1=0x3,XN:X1=0x3,"
ZEROEXT,0x1168d084,SCALAR,31,31,0.020000,"dtype:U32,XD:X4=0x1,XN:X14=0x1,"
MUL_IMM,0x1168d088,SCALAR,31,31,0.020000,"dtype:S64,XD:X0=0x60,XN:X4=0x1,IMM:0x60,"
SIGNEXT,0x1168d2a0,SCALAR,31,31,0.020000,"dtype:S32,XD:X1=0x1,XN:X4=0x1,"
AND,0x1168d11c,SCALAR,31,31,0.020000,"dtype:B64,XD:X6=0,XN:X15=0x200,XM:X29=0x41d5,"
ADD_IMM,0x1168d08c,SCALAR,31,31,0.020000,"dtype:S64,XD:X2=0x1,XN:X17=0,IMM:0x1,"
MOVK,0x1168d2d4,SCALAR,31,31,0.020000,"XD:X1=0x88,IMM:0,UIMM:0x2,"
MOV_XD_IMM,0x1168d2a8,SCALAR,31,31,0.020000,"XD:X2=0xf,IMM:0xf,"
AND,0x1168d2ac,SCALAR,31,31,0.020000,"dtype:B64,XD:X2=0,XN:X16=0x200,XM:X2=0xf,"
MOV_XD_IMM,0x1168d114,SCALAR,31,31,0.020000,"XD:X15=0x1,IMM:0x1,"
CMP_IMM,0x1168d2b0,SCALAR,31,31,0.020000,"dtype:S64,XN:X2=0,IMM:0,cond_op:NE,"
ZEROEXT,0x1168d2b8,SCALAR,31,31,0.020000,"dtype:U32,XD:X4=0x5000,XN:X4=0x5000,"
SHL,0x1168d2bc,SCALAR,31,31,0.020000,"dtype:B64,XD:X4=0xa000,DATA_SRC:IMM,IMM:0x1,"
ADD,0x1168d2c0,SCALAR,31,31,0.020000,"dtype:S64,XD:X13=0x11553400,XN:X3=0x11549400,XM:X4=0xa000,"
MOV_XD_IMM,0x1168d2cc,SCALAR,31,31,0.020000,"XD:X1=0x88,IMM:0x88,"
MOVK,0x1168d2d0,SCALAR,31,31,0.020000,"XD:X1=0x88,IMM:0,UIMM:0x1,"
OR,0x1168ddfc,SCALAR,31,31,0.020000,"dtype:B64,XD:X0=0x800200200,XN:X1=0x200200,XM:X0=0x800000000,"
MOV_XD_IMM,0x1168d550,SCALAR,31,31,0.020000,"XD:X5=0x1,IMM:0x1,"
MOVK,0x1168dc1c,SCALAR,31,31,0.020000,"XD:X22=0xff00000000000000,IMM:0xff00,UIMM:0x3,"
SEL,0x1168d09c,SCALAR,31,31,0.020000,"dtype:B64,XD:X22=0x20,XN:X5=0x20,XM:X1=0x20,"
ZEROEXT,0x1168d0d8,SCALAR,31,31,0.020000,"dtype:U32,XD:X8=0x20,XN:X8=0x20,"
ADD_IMM,0x1168d0a0,SCALAR,31,31,0.020000,"dtype:S64,XD:X1=0x1c7680,XN:X13=0x1c75c0,IMM:0xc0,"
INSERT_XD,0x1168d0a8,SCALAR,31,31,0.020000,"XD:X1=0x1c7684,IMM:0x1,POSITION:0x2,EXT:0,"
MOV_XD_XN,0x1168d0ac,SCALAR,31,31,0.020000,"dtype:S64,XD:X0=0x1c75c0,XN:X13=0x1c75c0,"
SHL,0x1168d0b0,SCALAR,31,31,0.020000,"dtype:B64,XD:X4=0x4,DATA_SRC:IMM,IMM:0x2,"
INSERT_XD,0x1168d0b4,SCALAR,31,31,0.020000,"XD:X0=0x1c75c4,IMM:0x1,POSITION:0x2,EXT:0,"
OR,0x1168de00,SCALAR,31,31,0.020000,"dtype:B64,XD:X0=0x800200200,XN:X2=0,XM:X0=0x800200200,"
SUB_IMM,0x1168dc18,SCALAR,31,31,0.020000,"dtype:S64,XD:X10=0x1c7560,XN:X30=0x1c7c20,IMM:0x6c0,"
SHL,0x1168ddf8,SCALAR,31,31,0.020000,"dtype:B64,XD:X2=0,DATA_SRC:IMM,IMM:0x30,"
ADD,0x1168d0bc,SCALAR,31,31,0.020000,"dtype:S64,XD:X1=0x1c7564,XN:X10=0x1c7560,XM:X4=0x4,"
OR,0x1168ddf4,SCALAR,31,31,0.020000,"dtype:B64,XD:X1=0x200200,XN:X1=0x200000,XM:X4=0x200,"
SHL,0x1168ddf0,SCALAR,31,31,0.020000,"dtype:B64,XD:X0=0x800000000,DATA_SRC:IMM,IMM:0x20,"
ZEROEXT,0x1168ddec,SCALAR,31,31,0.020000,"dtype:U16,XD:X2=0,XN:X2=0,"
ZEROEXT,0x1168dde8,SCALAR,31,31,0.020000,"dtype:U16,XD:X4=0x200,XN:X22=0x200,"
ZEROEXT,0x1168dde4,SCALAR,31,31,0.020000,"dtype:U32,XD:X1=0x200000,XN:X1=0x200000,"
ZEROEXT,0x1168dde0,SCALAR,31,31,0.020000,"dtype:U16,XD:X0=0x8,XN:X4=0x8,"
SHL,0x1168dddc,SCALAR,31,31,0.020000,"dtype:B64,XD:X22=0x200,DATA_SRC:IMM,IMM:0x4,"
SHL,0x1168ddd8,SCALAR,31,31,0.020000,"dtype:B64,XD:X1=0x200000,DATA_SRC:IMM,IMM:0x10,"
