block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.401111,7922,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
16,cube0,1.997222,3595,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.053333,9096,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.707778,8474,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
17,cube0,2.161111,3890,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.845000,8721,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.153889,9277,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
18,cube0,3.504444,6308,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.378889,7882,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.926667,8868,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
19,cube0,1.835000,3303,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.746666,8544,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.875556,8776,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
